Task 1,,,,,,,
Mon,Tue,Wed,Thu,Fri,Weekly Total,Hourly Wage (£),Weekly Wage (£)
2.0,0.0,4.0,0.0,3.0,9.0,25,225.0
0.0,2.0,0.0,6.0,0.0,8.0,26,208.0
4.0,7.0,4.0,0.0,4.0,19.0,24,456.0
5.0,5.0,5.0,0.0,5.0,20.0,23,460.0
3.0,0.0,1.0,3.0,0.0,7.0,28,196.0
0.0,0.0,0.0,5.0,2.0,7.0,30,210.0
14.0,14.0,14.0,14.0,14.0,70.0,,1755.0
Task 2 - Senerio 1,,,,,,,
Mon,Tue,Wed,Thu,Fri,Weekly Total,Hourly Wage (£),Weekly Wage (£)
5.0,0.0,6.0,0.0,3.0,14.0,25,350.0
0.0,6.0,0.0,5.0,0.0,11.0,26,286.0
3.0,3.0,4.0,0.0,4.0,14.0,24,336.0
3.0,5.0,1.0,0.0,5.0,14.0,23,322.0
3.0,0.0,3.0,3.0,0.0,9.0,28,252.0
0.0,0.0,0.0,6.0,2.0,8.0,30,240.0
14.0,14.0,14.0,14.0,14.0,70.0,,1786.0
Task 2 - Senerio 2,,,,,,,
Mon,Tue,Wed,Thu,Fri,Weekly Total,Hourly Wage (£),Weekly Wage (£)
6.0,0.0,3.0,0.0,5.0,14.0,25,350.0
0.0,6.0,0.0,6.0,0.0,12.0,26,312.0
4.0,3.0,3.0,0.0,4.0,14.0,24,336.0
1.0,5.0,5.0,0.0,3.0,14.0,23,322.0
3.0,0.0,3.0,2.0,0.0,8.0,28,224.0
0.0,0.0,0.0,6.0,2.0,8.0,30,240.0
14.0,14.0,14.0,14.0,14.0,70.0,,1784.0
Task 3,,,,,,,
Mon,Tue,Wed,Thu,Fri,Weekly Total,Hourly Wage (£),Weekly Wage (£)
5.0,0.0,6.0,0.0,5.0,16.0,25,400.0
0.0,6.0,0.0,2.0,0.0,8.0,26,208.0
3.0,3.0,3.0,0.0,3.0,12.0,24,288.0
5.0,5.0,5.0,0.0,5.0,20.0,23,460.0
1.0,0.0,0.0,6.0,0.0,7.0,28,196.0
0.0,0.0,0.0,6.0,1.0,7.0,30,210.0
14.0,14.0,14.0,14.0,14.0,70.0,,1762.0
